Tweet Date,User,Tweet
2022-12-30 18:54:39+00:00,UMadhavii,@name25487708 @ParliamentLK This is called bull logic 😂 I don’t respond to accs like urs but I had to say it incase someone else thinks the same!
2022-12-30 18:25:44+00:00,UMadhavii,@UlfathUwais @ParliamentLK I did think about it 😅 but that aside it’s true.
2022-12-30 18:07:02+00:00,UMadhavii,@UshanDeRonin @ParliamentLK LoL That's a cool boss 😅
2022-12-30 18:02:53+00:00,UMadhavii,@UlfathUwais @kulanthisilva Says the Foreign Ministry endorsement
2022-12-30 17:31:18+00:00,UMadhavii,@UlfathUwais @kulanthisilva අම්මපා 😋
2022-12-30 15:06:14+00:00,UMadhavii,"@aruni_t @ParliamentLK Well there are good Captains too. The thing is Aruni, it's party v individual. So it gets complicated. A walk in dangerous waters for them as for us."
2022-12-30 15:02:57+00:00,UMadhavii,@jehsde_online @ParliamentLK Ehenam excite wenna epa. Oyata kauruth excite wenna kiwwe nah neh. Or you can be more educated about how to respectfully express your frustrations 😁 My wish for you for 2023. Happy New Year!
2022-12-30 14:48:10+00:00,UMadhavii,@jehsde_online @ParliamentLK Oyala wage porawal inna rataka bang choone nowi kohomada aneh 😁 oyath enna e patte. Galapenawa 👌🏼 prathichara dakwala thiena widihenma kiyanna puluwan anagathe hodai awoth 😁
2022-12-30 14:30:51+00:00,UMadhavii,@r_evarts @ParliamentLK Not this in particular. But I have told pretty similar stuff and the response has been cool.
2022-12-30 14:09:02+00:00,UMadhavii,"I never thought working in a govt institution, I will get to say this, but this is pretty much my boss 😁 One thing great about working for the @ParliamentLK to me was the management. Good Captains! Good People! https://t.co/vt3ceUfkX1"
2022-12-28 13:12:44+00:00,UMadhavii,Gal Gadot as Cleopatra 😍
2022-12-26 13:34:46+00:00,UMadhavii,@NisansaDdS @yudianimations I don’t even wana ….🥲
2022-12-26 13:17:04+00:00,UMadhavii,"Time to get back to the real world!
Hello 2023!
Please be kind! https://t.co/tQvqExVnEk"
2022-12-25 06:30:06+00:00,UMadhavii,@indika27 ඔව් ඔව් වතුරෙන් අඩුවක් පාඩුවක් නෑ 😋
2022-12-25 04:31:50+00:00,UMadhavii,"No snow for you! Here, enjoy the rain ☔️"
2022-12-24 11:41:16+00:00,UMadhavii,💁‍♀️ https://t.co/hzmuRZqsHX
2022-12-23 13:25:38+00:00,UMadhavii,A lot can happen in an year! https://t.co/S0gfeYA51W
2022-12-23 13:18:27+00:00,UMadhavii,@cd_gamage @NisansaDdS This is embarrassing to say 😅 but perhaps if you hear the story behind this and come back to this tweet I am sure you can have a good laugh 😂
2022-12-23 13:00:45+00:00,UMadhavii,@NisansaDdS Not when in debt 😋
2022-12-23 12:41:02+00:00,UMadhavii,@mahenrr True 😅
2022-12-23 12:10:31+00:00,UMadhavii,@lakna_amandi Thanx Lakna ❤️
2022-12-23 11:57:00+00:00,UMadhavii,@NisansaDdS This picture is a product of tears 🥲 LoL
2022-12-23 11:53:00+00:00,UMadhavii,"@NisansaDdS You Nisansa, being THE only person who knows how this came to be, should not be saying this 😂"
2022-12-23 11:51:11+00:00,UMadhavii,#NewProfilePic https://t.co/UbRwbJJMQI
2022-12-23 05:26:13+00:00,UMadhavii,ඇළක් ඉඳගෙන ගඟකට කියනවලු මුහුද කොයි වගේද කියලා.
2022-12-21 15:41:17+00:00,UMadhavii,Congratulations ⁦@NisansaDdS⁩  https://t.co/aQp9YMFUG9
2022-12-18 06:38:14+00:00,UMadhavii,@aruni_t @nomadic_sanjee Yes!!! This guy harassed me so much to a point where he went on to lengths of spaming the @ParliamentLK Twitter acc when I blocked him from my personal one. DMed people known tagging them and was creepy AF. He wana enter politics and public service. God save us all if he does!
2022-12-17 08:53:45+00:00,UMadhavii,@AingkaranK @dinidu @ParliamentLK https://t.co/CJhVnBL2UQ
2022-12-17 08:38:36+00:00,UMadhavii,@dinidu @AingkaranK @ParliamentLK I am thankful. Poor them 😅
2022-12-17 08:11:36+00:00,UMadhavii,@dinidu @AingkaranK @ParliamentLK Yes yes. Join the annoying club of @dinidu here 😋
2022-12-17 08:09:03+00:00,UMadhavii,@AingkaranK @ParliamentLK And here I was enjoying my hair do 😅 DMed
2022-12-17 04:58:17+00:00,UMadhavii,My way of saying goodbye to 2022 is getting a solid hairdo 💇🏻‍♀️ https://t.co/NBXzjLJ50N
2022-12-16 06:34:15+00:00,UMadhavii,@NisansaDdS @cd_gamage Happy Birthday!!!
