Tweet Date,User,Tweet
2022-09-17 20:07:39+00:00,jjstruthersuk,"My wife and I attended the wonderful musical Girl From the North Country in Glasgow tonight. Based on 20 of @bobdylan songs, the musical was wonderful with superb singing and acting. Directed by Irish Writer and Director Conor McPherson, this is a must see for Dylan fans. https://t.co/GDbQQ9f1Q2"
2022-09-08 19:08:58+00:00,jjstruthersuk,An excellent tribute from our new Prime Minister Liz Truss on the death of the Queen. https://t.co/mQn0PpG8oZ
2022-09-08 19:04:21+00:00,jjstruthersuk,"Such sad news.The Queen served the UK and Commonwealth for so long with dignity and steadfastness.Her dedication to service was remarkable. An example to us all.Though grieving, we feel blessed to have lived during her long reign.Our prayers are with members of the Royal Family. https://t.co/8wBPaX1ZLN"
2022-08-22 07:54:21+00:00,jjstruthersuk,After the recent @MountKenyaUni graduation we had a dancing competition of the senior management including myself. I was a joint winnera! Who said a Mzungu cannot dance! @CAREED_UWS @UWS_SBCI @UniWestScotland Such fun! Just dance! https://t.co/XRfI2vuYu8
2022-08-04 12:23:24+00:00,jjstruthersuk,This is a project that @CAREED_UWS led on behalf of funders @innovateuk. Terrific to see it come to fruition after challenges of COVID-19. A fantastic team effort by my colleagues and those @NjordFrey in Rwanda. I hope to visit soon. @UniWestScotland @UWS_SBCI @ResearchUWS https://t.co/BJx5wiM0gc
2022-07-30 15:45:18+00:00,jjstruthersuk,A very useful meeting with @farmtrackconsul and @MountKenyaUni on our @innovateuk African Agriculture KTP looking at entomology issues in mangoe and avocado crops in Kenya @UWSKTP @CAREED_UWS @UniWestScotland @UWS_SBCI https://t.co/tlGUcCGLLC
2022-07-30 15:28:03+00:00,jjstruthersuk,An inspiring speech by  Vice Chancellor Professor Deogratius Jaganyi at yesterday's 21st Graduation Ceremony. @MountKenyaUni @CAREED_UWS @UniWestScotland @UWS_SBCI https://t.co/WStlHsYQnJ
2022-07-30 15:23:31+00:00,jjstruthersuk,A timely message from yesterday's @MountKenyaUni 21st Graduation Ceremony @CAREED_UWS @UWS @UWS_SBCI https://t.co/KjMzWwvJIH
2022-07-30 15:21:27+00:00,jjstruthersuk,Inspiring image from yesterday's @MountKenyaUni 21st Graduation Ceremony @CAREED_UWS @UniWestScotland @UWS_SBCI https://t.co/Ncyi2n4Nhf
2022-07-30 15:16:04+00:00,jjstruthersuk,A well deserved Honorary Doctor of Human Letters awarded to Dr Daniel Yumbya @MountKenyaUni 21st Graduation Ceremony in Thika yesterday @CAREED_UWS @UniWestScotland @UWS_SBCI https://t.co/WYFCgLxd5o
2022-07-30 15:11:04+00:00,jjstruthersuk,Six doctorates awarded @MountKenyaUni 21st Graduation Ceremony yesterday. A happy day for the recipients who have researched important topics on the Kenyan economy and other subjects. @CAREED_UWS @UniWestScotland @UWS_SBCI https://t.co/j2JTxpoE9Q
2022-07-29 17:52:01+00:00,jjstruthersuk,"I presided over the 21st graduation of @MountKenyaUni today in Thika. A wonderful and joyous event with more than 6000 students graduating. My lovely wife Justina attended too.

#MKU21stGraduation https://t.co/Nwg7NLZtpz"
2022-07-21 21:47:03+00:00,jjstruthersuk,Some nice photos from the recent Herald Awards event when I won the  Lifetime Achievement Award. @CAREED_UWS @MountKenyaUni https://t.co/wQzKK8ygBZ https://t.co/dhfG8fY4rs
2022-07-21 21:40:27+00:00,jjstruthersuk,@UofGVC Belated thank you Anton for your kind words after I recently won the Herald Lifetime Achievement Award. I was delighted and honoured.
2022-07-08 20:09:48+00:00,jjstruthersuk,An inspiring day of seminars at our annual Assoc of Christian Economics Conf. Fascinating topics included: Economics of Sanctions; Economics of Weapons and more. Nice to meet in-person again after a few years of absence due to COVID-19 @UniWestScotland @UWS_SBCI @CAREED_UWS https://t.co/XkDHTeVVdt
2022-07-08 19:58:46+00:00,jjstruthersuk,"Great day at Paisley Abbey to celebrate Honorary Doctor of Univ award to @JohnMcGlynn one of Scotland's most successful entrepreneurs.Good to catch up with John,Tom Clark &amp; John Wylie all of us former Board  members of @RenfrewshireCoC @UniWestScotland @UWS_SBCI @CAREED_UWS https://t.co/rtqiCRPOBz"
2022-07-06 17:24:42+00:00,jjstruthersuk,Some nice images from yesterday's @UniWestScotland graduation ceremonies for the @UWS_SBCI School in the magnificent ancient Paisley Abbey @CAREED_UWS https://t.co/AkEZXEdPgQ
2022-06-29 22:13:05+00:00,jjstruthersuk,A happy celebration of the installation of our new @UniWestScotland Chancellor Yekemi Otaru at the ancient and magnificent Paisley Abbey @UWS_SBCI @CAREED_UWS @yomarketingco https://t.co/L1H4OTVwBL
2022-06-20 19:10:39+00:00,jjstruthersuk,"What a wonderful 80th birthday tribute to the great Brian Wilson for all his fantastic music from so many legends such as Bob Dylan, Elton John, David Crosbie, Smokey Robinson and many more. Such a lovely gesture. https://t.co/3IRGiam6u3"
2022-06-18 06:21:21+00:00,jjstruthersuk,Insightful webinar discussion on agri-processing investment opportunities in Ethiopia organised by @EthioEmbassyUK and Africa Advisory Partners @CAREED_UWS @UWS_SBCI https://t.co/O4CSwayQN4
2022-06-05 10:48:06+00:00,jjstruthersuk,The legend Diana Ross singing wonderfully at last night's #PlatinumPartyatthePalace https://t.co/USkQHrVBxD
2022-06-05 10:43:07+00:00,jjstruthersuk,"Fantastic Platinum Jubilee Concept with such great stars, Rod Stewart, Celeste (singing What a Wonderful World), and the legend Diana Ross.The Queen herself was featured in a funny sketch with Paddington Bear.Really nice.A great collection of stars from many countries &amp; cultures. https://t.co/OstGG0dNIU"
2022-06-03 11:21:44+00:00,jjstruthersuk,"My wife and I (both avid EastEnders viewers) loved this visit by the Prince of Wales and the Duchess of Cornwall to the set of the programme.Such good humour, happiness, and respect @BBCEastenders__ https://t.co/62ig4Pvc6Q"
2022-06-03 11:12:22+00:00,jjstruthersuk,A joyous celebration of the Queen's long reign. A time to be happy and to celebrate. https://t.co/nQ99zCfXw0
2022-06-01 17:42:07+00:00,jjstruthersuk,Congratulations Gemma on your award. What a tremendous achievement for you and the University. A memorable Herald #HHE awards event for UWS. @gemmalumsdaine @UniWestScotland https://t.co/eSlsL3br0k
2022-06-01 17:15:24+00:00,jjstruthersuk,Another  photo from last night's Herald Awards event.The University won two other awards inc Scottish University of the Year. Such a  tremendous  achievement for a UWS that does so much for communities  @UniWestScotland @UWS_SBCI @CAREED_UWS @MountKenyaUni @EthioEmbassyUK. https://t.co/eaGpVWpK99
2022-06-01 11:08:55+00:00,jjstruthersuk,"Delighted that I was selected  by the judges at @heraldscotland Higher Education awards as the winner in the Lifetime Achievement category, esp
in the company of such strong nominees.

@UniWestScotland @CAREED_UWS @MountKenyaUni @EthioEmbassyUK 

https://t.co/dgrQO5mxST"
2022-05-31 11:29:40+00:00,jjstruthersuk,Looking forward to the #Heraldeds awards event tonight in Glasgow. @CAREED_UWS @UWS_SBCI @UniWestScotland https://t.co/M4afG6nhl0
2022-05-31 11:25:33+00:00,jjstruthersuk,Good to take part in meeting yesterday with @EthioEmbassyUK and Ministry of Education colleagues in Ethiopia to further discussions re cooperation with Scottish universities esp in STEM subjects @CAREED_UWS @UWS_SBCI @GmiG @UniWestScotland https://t.co/TeQox0wTwq
2022-05-16 20:24:24+00:00,jjstruthersuk,"Great initiative @MountKenyaUni to host 2nd Int Conference on Peace, Security and Social Enterprise especially at this time in the world. Some excellent speakers lined up. @CAREED_UWS @UniWestScotland @UWS_SBCI @SimonNGicharu https://t.co/aDCBFSe15S"
2022-05-09 08:15:16+00:00,jjstruthersuk,An interesting webinar organised by @EthioEmbassyUK to promote Ethiopian coffee among UK consumers in preparation for a major exhibition in December 2022 at the London Embassy. Coffee is imp to Ethiopia not just as a commodity but also for cultural reasons @CAREED_UWS @UWS_SBCI https://t.co/XiAi21RWWZ
2022-05-01 20:18:10+00:00,jjstruthersuk,A nice surprise to be nominated by my @UniWestScotland for this Lifetime Achievement Award @heraldscotland @CAREED_UWS @UWS_SBCI @MountKenyaUni @ResearchUWS @UWS_PGR @EthioEmbassyUK https://t.co/rCdX4Vy4AQ
2022-05-01 20:10:59+00:00,jjstruthersuk,Paisley uni chiefs celebrate record number of awards nominations https://t.co/dFwqqcgnCd
2022-04-16 20:58:53+00:00,jjstruthersuk,Launch of our @innovateuk funded entymology project in Kenya with @MountKenyaUni &amp; Kenyan co Farmtrack to tackle fruit fly pest in mangoes etc. Project will also have economic &amp; supply chain benefits. Welcome to Research Assoc Dr Teresiah Njihia to the team @CAREED_UWS @UWS_SBCI https://t.co/s9rpnIgjkh
2022-04-16 19:22:07+00:00,jjstruthersuk,Pleased to welcome my former PhD student Dr Pratibha Shalini to  in-person graduation event @UniWestScotland after her virtual graduation in 2021. She came all the way from Canada and her parents from India to attend. A proud moment. @ResearchUWS @CAREED_UWS @UniWestScotland https://t.co/jEdNQd4Ent
2022-04-08 11:19:38+00:00,jjstruthersuk,"My son's HOUSE OF GUCCI podcast featuring Lady Gaga, Adam Driver, Salma Hayek, Jared Leto and Sir Ridley Scott has been nominated for best Television &amp; Film Podcast at this year's @TheWebbyAwards 

Please vote here 
https://t.co/0yTm3vV9Of https://t.co/SWZqFitrdw"
2022-02-22 12:31:25+00:00,jjstruthersuk,A key milestone for the economy of Ethiopia and the Horn of Africa.The GERD project will bring electricity to many millions of Ethiopians @EthioEmbassyUK @EthioAmbUK https://t.co/PilsSk6dVy
2022-01-28 20:40:21+00:00,jjstruthersuk,"A fantastic 2 days of presentations as our 6th Annual @CAREED_UWS conference comes to end. We thank the presenters from many different countries in Africa, Europe and the US. Haste Ye Back for the 7th conference @UWS_SBCI @UWS https://t.co/OnE1aY9OCq"
2022-01-28 20:33:15+00:00,jjstruthersuk,Excellent chairing by Deputy Director Dr Adebisi Adewole at @CAREED_UWS 6th Annual Conference @UWS @UWS_SBCI https://t.co/cai0kxvgcc
2022-01-28 20:30:31+00:00,jjstruthersuk,Inspiring presentations by delegates at our 6th Annual @CAREED_UWS conference. Already looking ahead to the 7th conference! @UWS_SBCI @UWS https://t.co/2J2l1otnmW
2022-01-27 20:06:31+00:00,jjstruthersuk,The Africa Debate stimulates full discussion at today's 6th Annual CAREED Conf. Special thanks to Ethiopian Ambassador to the UK Mr Teferi Melesse Desta for his insightful presentation @EthioEmbassyUK @UWS_SBCI @UWS https://t.co/UQ8OWjQUb4
2022-01-27 19:57:51+00:00,jjstruthersuk,Excellent presentation by @ogidan_abimbola at today's 6th Annual @CAREED_UWS conference @UWS_SBCI @UWS https://t.co/YYtfr8nFQz
2022-01-27 19:53:13+00:00,jjstruthersuk,Glad to contribute to today's CAREED conference including our @innovateuk project on aquaponics in Rwanda @UWS_SBCI @UniWestScotland https://t.co/SeT6fLyXqe
2022-01-27 19:50:52+00:00,jjstruthersuk,Tremendous presentation by Professor Kevin Urama at  Day 1 of our CAREED conference today. Good questions too. https://t.co/64Qrt9Z7HO
2022-01-21 14:18:29+00:00,jjstruthersuk,Just a few days to our 6th Annual CAREED Conf. 33 papers across diff econ topics on circa 10 African countries plus keynote by Prof Kevin Urama of African Dev Bank and our Africa Debate to discuss positive econ dev in Africa @CAREED_UWS @UWS_SBCI @UniWestScotland @GmiG @UNCTAD https://t.co/RvQIHk5wZk
2021-12-25 18:38:24+00:00,jjstruthersuk,Happy Christmas and a healthy 2022 to all. I thought you would like this Christmas tree from Nigeria made from plantain and yam! @CAREED_UWS @UWS @UWS_SBCI https://t.co/wXrYUyhhk3
2021-12-19 21:20:13+00:00,jjstruthersuk,@AllanTMoore @UniWestScotland You are leaving a great legacy at UWS Allan. All the best in you new post in London. We will keep in touch especially in relation to CAREED.
2021-12-18 22:15:32+00:00,jjstruthersuk,"My wife and I dressed up for the final of Strictly Come Dancing. Such a celebration of upbuilding music, dance, and diversity.

Congratulations to @RoseAylingEllis @pernicegiovann1
#Strictly https://t.co/SAQHelnCZU"
2021-12-11 12:50:08+00:00,jjstruthersuk,More good news at 20th Grad Ceremony @MountKenyaUni @SimonNGicharu.The Univ has a strong commitment to community and equality which I am happy to support as Chancellor.This supports the univ's key role as an SDG hub. Similar to my home univ @UWS @PrincipalUWS @UWS_SBCI @GmiG https://t.co/BEJqjGOazp
