Tweet Date,User,Tweet
2022-12-30 12:33:28+00:00,iamRashmika,I got to see so much love pouring in that day and it makes me feel extremely grateful… Thank you my loves… last few days of 2022… and this new year I hope there’s only and only love for all of you.. God bless you with good health and happiness! 🤍🤍 https://t.co/HWMe9hHCMO
2022-12-30 11:37:22+00:00,iamRashmika,@AnilKapoor #RanbirKapoor @thedeol @tripti_dimri23 @imvangasandeep #BhushanKumar @VangaPranay @MuradKhetani #KrishanKumar @anilandbhanu @VangaPictures @Cine1Studios @TSeries @rameemusic @cowvala #ShivChanana
2022-12-30 11:37:20+00:00,iamRashmika,Crazy… totally looking forward 🔥🔥💃🏻 https://t.co/w5IEG4Mvlr
2022-12-30 08:17:12+00:00,iamRashmika,@RoshKarnatakaFc @RashmikaKFC @RMKFC @Rashmika_Jaan @RMFATN @RashimikaA @RashmikaFanArmy @Its_uv1 @KarnatakaBoxOff @RashKarnatakaFC Yes❤️
2022-12-30 08:13:43+00:00,iamRashmika,@lanka_rashmika 🥲🥲❤️
2022-12-30 08:13:35+00:00,iamRashmika,@LoveRashmika 😚
2022-12-30 08:13:27+00:00,iamRashmika,@iam_dindev Thankyou🌸
2022-12-30 08:12:46+00:00,iamRashmika,@RashmikaTrends Aapko na lage.❤️
2022-12-30 08:11:29+00:00,iamRashmika,@Trends_Samantha @Samanthaprabhu2 Thankyou
2022-12-30 08:09:14+00:00,iamRashmika,@pudiharicharan Thankyou. 🌸
2022-12-30 08:07:51+00:00,iamRashmika,@Rashmikadelhifc Now I do. 😄
2022-12-30 08:07:28+00:00,iamRashmika,@Rashmikadelhifc You guys ARE absolute fire. 🔥
2022-12-30 08:04:14+00:00,iamRashmika,@SureshKondi_ Thankyou sir.. it’s all because of my extended fammmmyyyy.. ❤️
2022-12-30 08:03:19+00:00,iamRashmika,@RMKFC Damnnnn! 🔥so cool
2022-12-30 08:02:49+00:00,iamRashmika,😚😚 https://t.co/LPCfed2X1C
2022-12-30 08:02:40+00:00,iamRashmika,@Rashmikadelhifc @quantingworld @lanka_rashmika @iakshita04 @JoshiSripriya @RashimikaA @rashmika_fans_ @MandannaTeam @stylish_jafar @FainatFans @rashmika_bigfan I see everything.. ❤️ and I know.. sorry I responded a lil late ❤️
2022-12-30 07:59:12+00:00,iamRashmika,"Seeing the trend.. ❤️ 
Thankyou you guys. 😚😚 https://t.co/k4x1Q5W1vL"
2022-12-30 03:35:42+00:00,iamRashmika,"I love it. 
I love you ❤️
Thankyou. ❤️
More than anything else I am grateful to have all of you in my life. ❤️thankyou again.. ❤️ 
#6GoldenYearsOfRashmika https://t.co/wyc6kxPTPu"
2022-12-29 06:31:57+00:00,iamRashmika,"You know what my favourite cheese indulgence is?? Why don’t you try the McCheese Burger and guess my answer! ❤️

Visit your nearest McDonald’s or order this Cheesy delight on McDelivery!
@mcdonaldsindia 

#mcdonaldsindia #imlovinit #mccheeseburger #partnership https://t.co/3bix1auPMK"
2022-12-27 21:59:58+00:00,iamRashmika,@JoshiSripriya Happiest birthday darling ❤️❤️sorry I am a lil late..❤️
2022-12-27 21:49:32+00:00,iamRashmika,@RoshKarnatakaFc @RMKFC @RMFATN @Rashmikamandan6 @RashimikaA @RashmikaLovers @iamRashmikaaaa @Its_uv1 @KarnatakaBoxOff @RashKarnatakaFC Yaaaay. ❤️
2022-12-27 21:48:38+00:00,iamRashmika,@Rashmikadelhifc @SidMalhotra 😄
2022-12-27 21:48:06+00:00,iamRashmika,@Rashmikadelhifc 😄😄
2022-12-27 21:47:59+00:00,iamRashmika,@RMKFC Excitedddddd.❤️❤️
2022-12-27 21:47:29+00:00,iamRashmika,@JoshiSripriya @KeerthyOfficial Happy birthday ❤️
2022-12-26 10:34:51+00:00,iamRashmika,"Thank you so much for coming out to meet us… We felt your love and we wanted to give it back to you in some form and the song was one of those forms… 
Soon I want to atleast virtually meet all of you 🌸 Spending time with you all is THE best FEELING! ❤️ https://t.co/4i9jMp8OTJ"
