Tweet Date,User,Tweet
2022-12-30 11:45:16+00:00,hardikpandya7,Deepest condolences to Honourable Prime Minister Shri @narendramodi ji on the passing of Smt. Heeraben Modi ji.  May her soul rest in peace 🙏
2022-12-30 08:41:37+00:00,hardikpandya7,Praying for a speedy recovery🙏Stay strong bro ❤️ @RishabhPant17
2022-12-29 16:31:00+00:00,hardikpandya7,Kgf 3 https://t.co/BKjOx1zZWw
2022-12-25 12:56:00+00:00,hardikpandya7,"#Collab Jungle bhi hamara aur raj bhi hamara! 💪

#TeamIndia is ready to take on the Asian Champions in the Mastercard #INDvSL series! 🤩

Don't miss the live action from this 🔥 rivalry from Jan 3 onwards, only on @StarSportsIndia &amp; Disney+Hotstar https://t.co/Hk8Ya8lPPm"
2022-12-10 08:46:49+00:00,hardikpandya7,Outstanding! Well done Ishu 💯💯😘 So so proud of you baby! Well deserved 👏👏 @ishankishan51 https://t.co/r8cjynGEqD
2022-12-08 08:29:11+00:00,hardikpandya7,Looking back at a wonderful shoot day with the amazing Purshotam Sir 🤗 Shooting with you was so much fun and truly a golden day ☺️☺️ https://t.co/R8sAKQEL7B
2022-11-24 05:08:05+00:00,hardikpandya7,Home ❤️ https://t.co/P6NlWKzEHm
2022-11-22 11:13:07+00:00,hardikpandya7,Done and dusted 🏆🤙 Way to go #TeamIndia 🇮🇳 https://t.co/P2vkdawRJp
2022-11-20 10:47:24+00:00,hardikpandya7,Important to start with a win 🇮🇳 Well done to the entire team! That was special @surya_14kumar 👌🤙 https://t.co/9EUgiZJ4wp
2022-11-19 11:21:11+00:00,hardikpandya7,Thank you for the wonderful welcome at Mount Maunganui! The boys were left in awe 🤗🥰 https://t.co/Df88eGBbxn
2022-11-17 05:52:10+00:00,hardikpandya7,"New challenge, new energy 🥶 https://t.co/OUayi3C3vA"
2022-11-16 06:32:07+00:00,hardikpandya7,"Knowing you the way I do, there is no doubt in my mind that you will succeed in your new role and continue to inspire another generation of fearless cricketers. Thank you for everything my brother, good luck and see you soon ❤️ 👊 @KieronPollard55 https://t.co/YVbREp3FPr"
2022-11-16 06:32:05+00:00,hardikpandya7,"My Polly, I couldn't have asked for a better mentor and friend. Playing alongside you on the field has been one of the best experiences of my career so far. Never a dull moment. I wish you the best for your new role. https://t.co/s6uraOhAdv"
2022-11-13 13:11:49+00:00,hardikpandya7,Congratulations England 👏 Well played!
2022-11-10 13:58:51+00:00,hardikpandya7,"To our fans who backed us everywhere we went, we’re forever grateful. It wasn’t meant to be but we’ll reflect and keep fighting. 🇮🇳❤️ https://t.co/smFBRuTd3J"
2022-11-10 13:58:42+00:00,hardikpandya7,"Devastated, gutted, hurt. Tough to take, for all of us. To my teammates, I’ve enjoyed the bond that we built - we fought for each other every step of the way. Thank you to our support staff for their endless dedication and hardwork for months on end. https://t.co/HlVUC8BNq7"
2022-11-06 11:46:44+00:00,hardikpandya7,"Solid performance ✅
Onto the semis 🇮🇳 💪 https://t.co/mgnmo8mnmJ"
2022-11-05 04:28:21+00:00,hardikpandya7,Happy birthday bro ❤️🧿 @imVkohli Wish you the best always ♾️ https://t.co/XLl6SrvLbM
2022-11-02 12:30:55+00:00,hardikpandya7,"2 points ✅
See you Sunday 👊 🇮🇳 https://t.co/s3pyX0UJuB"
2022-10-27 13:53:39+00:00,hardikpandya7,Commendable move and a wonderful decision. https://t.co/85IDmReEiI
2022-10-27 10:42:07+00:00,hardikpandya7,"2/2. Thanks for the love, Sydney 🫶 See you soon, Perth 🇮🇳 https://t.co/gG98UIfB01"
2022-10-24 04:25:26+00:00,hardikpandya7,"To the thousands of fans who cheered for us at the MCG and the millions back home, thank you 🫡🇮🇳 https://t.co/9WvwekVgEv"
2022-10-23 13:26:24+00:00,hardikpandya7,At a loss for words… Wouldn’t have preferred anyone else with me out there @imVkohli 👑🫡 One of the best games of my life 🇮🇳 https://t.co/jWge1qy5lj
2022-10-21 12:37:06+00:00,hardikpandya7,Together 🇮🇳❤️ https://t.co/8GHedKhGJF
2022-10-20 12:32:12+00:00,hardikpandya7,"#collab Haircut dete, mera pata kat jata. Thank God I #dreambig
@Dream11 https://t.co/n590OhkLvN"
2022-10-18 06:44:18+00:00,hardikpandya7,Let’s get going 🇮🇳💪 https://t.co/qGDQtNoJca
2022-10-15 09:47:15+00:00,hardikpandya7,Congratulations 🇮🇳 What an impressive display! Well done girls 🏆🫡 https://t.co/NI2UzzDWUr
2022-10-14 13:04:53+00:00,hardikpandya7,"#collab The new team in town is @0xFanCraze &amp; we are pumped to join this amazing squad! 

Collect my player cards, play games, win prizes &amp; unlock exclusive merch!

Join now on https://t.co/KfIgOVRz9H to get started with your welcome bonus!

#OwnTheSquad #fancraze https://t.co/TnZrPeLUoQ"
